project_id,subproject_id,title,repository,lead_name,lead_github,status,current_focus,compute,next_milestone,milestone_target,milestone_overdue,metadata_last_updated,metadata_stale
asf-risk,asf-gbrts,Sensitivity to Epidemiological Traits of ASF Strains,geoepi/ASF-GBRTs,Madion Berger,MadisonB14,paused,Manuscript in review. Modifications pending reviewer comments.,Atlas,Pending reviewer comments,2025-10-01,False,2026-08-09,False
asf-swine,asf-swine-contacts,Swine Movement and Social Cohesion,geoepi/swine-contacts,John Humphreys,JMHumphreys,paused,"Analysis pasued since postdoc vacates position (Ben Golas, Feb 2026). Work in coordination with APHIS NWRC.",Atlas; Ceres,Awaiting reassignment or rescue,2027-01-01,False,2026-08-09,False
asf-swine,asf-swine-missouri,Simulation of feral swine pedigrees based on admixture analysis,geoepi/FeralSwine_Ben,Ben Golas,bengolas,archived,Work ended on postdoc (Ben Golas) vacating position.,Atlas,Archived pending reassignment or rescue,2026-02-01,False,2026-08-09,False
fmd-patho,fmd-challengeabm,challengeABM an Agent-Based Disease Transmission Model,geoepi/challengeABM,John Humphreys,JMHumphreys,paused,"Temporarily paused, will eventually expand to other disease systems (VSV, HPAI).",Atlas,Expand to other pathogens,2027-01-01,False,2026-08-09,False
fmd-patho,incubation-stenfeldt,Incubation Phase Transmission of Foot-and-mouth Disease,geoepi/fmdv-preclinical,John Humphreys,JMHumphreys,complete,"Results publsihed. Animal experiment led by Carolina Stenfeldt, modeling by Humphreys",Atlas,Complete,2026-01-07,False,2026-08-09,False
fmd-patho,pak-coinfection,FMDV Co-Infection and Recombination,geoepi/pak-coinfection,John Humphreys,JMHumphreys,complete,"Rsults published. Paper and bioinfomatics lead was Ian Fish, transmission and supporting analyses by Humphreys.",Atlas,Completed,2025-12-20,False,2026-08-09,False
fmd-patho,sequence-map,Mapping Virus Diversity and Variation,geoepi/sequence-map,John Humphreys,JMHumphreys,active,Adding functionality for estimation of allele diversity.,local,Estimation of allele diversity,2026-09-01,False,2026-08-09,False
fmd-risk,fmd-preclinical-spread,Epidemiologic consequences of preclinical transmission of foot-and-mouth disease virus in cattle,geoepi/FMD-preclinical-spread,John Humphreys,JMHumphreys,complete,Results published. ISP work led by postdoc Stormy Scharzenberger with support from APHIS CEAH.,local,Completed,2025-08-28,False,2026-08-09,False
fmd-risk,fmd-sri-lanka,Designing Control Zones for Foot-and-mouth Disease in Sri Lanka,geoepi/sri-lanka-fmd,John Humphreys,JMHumphreys,paused,Associated manuscript in review. Paper and analysis led by Umanga Gunasekera.,local,Reviewer comments,2026-03-26,False,2026-08-09,False
hpai-plume,epiplume,Atmospheric Dispersion of HPAI,geoepi/EpiPlume,John Humphreys,JMHumphreys,active,Developing workflow for parallel processing of facility-to-facility plume simulations.,Atlas,Parallel processing workflow,2026-09-01,False,2026-08-09,False
nws-risk,nws-bayes-geostat,Bayesian NWS Geostatistical Model,geoepi/hominivorax-geostat,John Humphreys,JMHumphreys,active,Prospective validation,Atlas,Update all inputs,2026-09-01,False,2026-08-08,False
nws-risk,nws-ca-env,NWS Cellular Automata,geoepi/hominivorax-CA,John Humphreys,JMHumphreys,active,Used as framework for new CA model inclusive of population dynamics.  Will be packaged.,Atlas,Refactor as package,2026-12-01,False,2026-08-09,False
nws-risk,nws-cds-datagrab,Pipeline for CDS Data Processing,geoepi/cds-datagrab,John Humphreys,JMHumphreys,active,Adding additional variables,Atlas,Add additional variables,2026-09-01,False,2026-08-08,False
nws-risk,nws-dashboard-pipeline,Pipeline for NWS Dashboard,geoepi/nws-postprocessing,John Humphreys,JMHumphreys,paused,Work pending dashboard redesign by Accenture.,Atlas,Pending dashboard redesign,2026-09-01,False,2026-08-09,False
nws-risk,nws-nwscrewworm,Group NWS Repository,geoepi/NWScrewworm,John Humphreys,JMHumphreys,active,Clean and reorganize repo to more modular design.,Atlas,Reorganize repo,2026-11-01,False,2026-08-09,False
vsv-risk,seir-vector,Modeling the 2014-2015 Vesicular Stomatitis Outbreak in the United States using an SEIR-SEI Approach,geoepi/seir-vector,John Humphreys,JMHumphreys,complete,Results published.,local,Complete,2024-08-24,False,2026-08-09,False
vsv-risk,vs-epizootics,Interrogating Genomes and Geography to Unravel Multiyear Vesicular Stomatitis Epizootics,geoepi/vs-epizootics,John Humphreys,JMHumphreys,complete,Results published.,local,Complete,2024-07-10,False,2026-08-09,False
vsv-risk,vsv-ca-2023,California Outbreak 2023,geoepi/vsv-2023,John Humphreys,JMHumphreys,active,"Manuscript with coauthors, Stacey Scroggs is paper lead.",Atlas,Add documentmentation to support manuscript submission,2026-10-01,False,2026-08-09,False
wnv-risk,wnv-ai-gnn,WNV Graph Neural Network in the Southern United States,geoepi/SpatioTemporal-GNN-Regressor,Amber Mooney,Amber Mooney,paused,Manuscript in review. Paused pending reviewer comments.,Atlas,Paused pending reviewer comments,2026-07-30,False,2026-08-09,False
wnv-risk,wnv-geoai-flavi,GeoAI Flavivirus Sandbox,geoepi/GeoAI-Flavivirus,John Humphreys,JMHumphreys,paused,Paused pending completion of current manuscripts and subprojects.,Atlas,Paused pending higher priority subprojects,2026-02-01,False,2026-08-09,False
